original_title,generated_title
"Two-point G$^2$ Hermite interpolation with spirals by inversion of
  conics: summary",['Two-point G$2$ Hermite interpolation with rational spirals by inversion of conics']
For-all Sparse Recovery in Near-Optimal Time,['Approximate Sparse Recovery in $ell_1$Norm with Improved Upper Bounds']
"Mid-rapidity D-meson production in pp, Pb-Pb and p-Pb collisions at the
  LHC","['D-meson production in pp, Pb-Pb and p-Pb collisions with ALICE']"
"Order-preserving strong schemes for SDEs with locally Lipschitz
  coefficients",['A class of balanced schemes for stochastic differential equations satisfying a global monotone condition']
Fractal and multifractal properties of a family of fractal networks,['Fractal and multifractal properties of a family of fractal networks']
"Nonlinear dynamics of system oscillations modeled by a forced Van der
  Pol generalized oscillator",['Oscillations modeled by a forced Van der Pol generalized oscillator']
"Turing Kernelization for Finding Long Paths and Cycles in Restricted
  Graph Classes",['Turing Kernels for the NP-Complete $k$-Path Problem']
Pluri-Canonical Models of Supersymmetric Curves,['Pluri-Canonical Models of Supersymmetric Curves']
An Explicit Formula for the Local zeta Function of a Laurent Polynomial,['The local zeta function associated to a Laurent polynomial over a $p-$adic field']
A First-Order BSPDE for Swing Option Pricing: Classical Solutions,['On the value process of a non-Markovian swing option with application to dual minimization']
"Aspects of Quantum Energy and Stress in Inhomogeneous Unbounded
  Dielectric Continua",['Extraction of finite quantum expectation values from regularized mode sums in an inhomogeneous ENZ medium']
Bayesian linear regression with sparse priors,['Bayesian High-Dimensional Linear Regression with Continuous Priors']
Gabor analysis as contraction of wavelets analysis,['Wavelets analysis and Gabor analysis: a group contraction approach']
"Hamiltonian Formulation and Perturbations for Dust Motion around
  Cometary Nuclei",['Dynamical behavior of large dust grains in the potential field of a cometary nucleus']
"Stability and Motion around Equilibrium Points in the Rotating
  Plane-Symmetric Potential Field","['Equilibrium points, periodic orbits and manifolds in a rotating plane symmetric potential field']"
The modified electromagnetism and the emergent longitudinal wave,['Longitudinal wave and Lorenz gauge violation']
A geometric approach to shortest bounded curvature paths,['A geometric approach to bounded curvature paths on the Euclidean plane']
Degeneration of Hodge structures over Picard modular surfaces,['Variations of Hodge structures over Picard modular surfaces']
"Adaptive Control of Robot Manipulators With Uncertain Kinematics and
  Dynamics",['Adaptive Control of Robot Manipulators with Uncertain Kinematics and Dynamics']
"Hopf Algebras of m-permutations, (m+1)-ary trees, and m-parking
  functions",['Combinatorial Hopf algebras based on (m+1)-ary trees']
"The classification of compact simply connected biquotients in dimension
  6 and 7",['Compact simply connected biquotients of dimension 6 and 7']
"The quantisation of normal velocity does not concentrate on
  hypersurfaces",['Semiclassical restrictions of Neumann data of Laplacian eigenfunctions']
Using Mathematica for Quantum Mechanics: A Student's Manual,['Introduction to Quantum Mechanics']
Optimal Strokes for Driftless Swimmers: A General Geometric Approach,['Optimization of Driftless Swimmers']
"Phase space analysis of the F (X) - V (\phi) scalar field Lagrangian and
  scaling solutions in flat cosmology",['Critical points and scaling solutions in a modified kinetic model of flat cosmology']
Posterior Matching for Gaussian Broadcast Channels with Feedback,['Posterior Matching for the Gaussian Broadcast Channel with Feedback']
"Polarization fields in GaN/AlN nanowire heterostructures studied by Off
  axis holography",['Off-axis electron holography of GaN/AlN heterostructured nanowires']
Principles of Antifragile Software,"['What is ""Antifragile""?']"
On the topology of the spaces of curvature constrained plane curves,['Deformations of plane curves with bounded curvature']
Martingale inequalities of type Dzhaparidze and van Zanten,['Refined Freedman-Bennett inequalities for martingales']
Brauer groups on K3 surfaces and arithmetic applications,['Geometric realizations of p-torsion Brauer elements on K3 surfaces']
On the symplectic eightfold associated to a Pfaffian cubic fourfold,['The Hilbert scheme of four points on a cubic fourfold']
"An analytical approach to the external force-free motion of pendulums on
  surfaces of constant curvature",['Dynamics of Force Free Motion of Pendulums on Surfaces of Constant Gaussian Curvature']
Recurrence and transience for the frog model on trees,['Recurrence and transience for the frog model on trees']
Applications of cotorsion triples,['Cotorsion triples and homotopy categories']
Coding Theoretic Construction of Quantum Ramp Secret Sharing,['Quantum Ramp Secret Sharing from Nested Linear Codes']
"Towards Evidence of Long-Range Correlations in Shallow Seismic
  Activities",['Epicenter Networks: A New Methodology and a Small-World Approach']
Quantized Mechanics of Affinely-Rigid Bodies,['Quantum Mechanics of Affinely-Rigid Motion']
The large-scale structure of vacuum,['Large-Scale Structure of Vacuum Energy']
"Can a variable gravitational constant resolve the Faint Young Sun
  Paradox ?",['Resolving the Faint Young Sun Paradox with a Variable Gravitational Constant']
Algorithmic identification of probabilities is hard,['Inductive inference on Bernoulli measures']
Valuation of Barrier Options using Sequential Monte Carlo,['Sequential Monte Carlo for Pricing Barrier Options']
Raiders of the lost spacetime,['The Lost Spacetime of Loop Quantum Gravity']
Change-Point Estimation in High-Dimensional Markov Random Field Models,['Tight Bounds for Sparse Change-Point Estimation in High-Dimensional Random Field Models']
"Elliptic flow of electrons from heavy-flavor hadron decays in Au+Au
  collisions at $\sqrt{s_{\rm NN}} = $ 200, 62.4, and 39 GeV",['Elliptic flow of electrons from heavy-flavor hadron decays at STAR']
Exponential Mixing for Skew Products with Discontinuities,['Exponential Mixing for Skew Products']
