original_titles,generated_titles
"Roughening transition and universality of single step growth models in
  (2+1)-dimensions",['Roughening transition in (2+1)-dimensional crystal growth models']
"Mining Representative Unsubstituted Graph Patterns Using Prior
  Similarity Matrix",['A Pattern Selection Approach for Finding Recurrent Spatial Motifs of Proteins']
Continuous and smooth envelopes of topological algebras,['Category construction of geometries']
Diffusion on hierarchical systems of weakly-coupled networks,['Diffusion in hierarchical weakly-coupled networks']
"A short proof that all linear codes are weakly algebraic-geometric using
  Bertini theorems of B. Poonen",['On the weak algebraic geometry of linear codes']
Nori's Fundamental Group over a non Algebraically Closed Field,"[""Generalization of Nori's Fundamental Group Scheme""]"
"A unified approach to structural limits, and limits of graphs with
  bounded tree-depth",['Limits of Relational Structures and Graphs']
A sub-ensemble theory of ideal quantum measurement processes,['Ideal measurements: a contextual approach']
"Experimental status of particle and astroparticle searches for
  supersymmetry",['Overview of Supersymmetry Searches']
A note on a sumset in $\mathbb{Z}_{2k}$,['On the cardinality of additive sets of $mathbbZ_2k$']
Parameterized Complexity of 1-Planarity,['Finding 1-planar drawings for general graphs is NP-hard']
"Evolution of the SrTiO$_3$ surface electronic state as a function of
  LaAlO$_3$ overlayer thickness",['Folding of the Fermi Surface at and above the LAO/SrTiO3 Interface']
Parametrics Resonances of a Forced Modified Rayleigh-Duffing Oscillator,['Resonances and Chaotic Motion of Forced Modified Rayleigh-Duffing Oscillator']
"On the Limit Set of Root Systems of Coxeter Groups acting on Lorentzian
  spaces",['Limit sets of Coxeter groups acting on Lorentzian spaces']
Half exact functors associated with cotorsion pairs on exact categories,['Hearts of twin cotorsion pairs on exact categories']
On algebras of finite Cohen-Macaulay type,['Decomposition of Gorenstein-projective modules']
Entanglement entropy from surface terms in general relativity,['Entanglement entropy from surface terms in general relativity']
"Would be the photon a composed particle? quantization of field fluxes in
  electromagnetic radiation",['On the quantization of the electromagnetic flux']
Optimal filtering and the dual process,['Optimal filtering and duality for Markov processes']
The wave-function description of the electromagnetic field,['Electromagnetic Prepotentials']
"Finite-Length and Asymptotic Analysis of Correlogram for Undersampled
  Data","['Correlogram for Undersampled Data: Accuracy, Complexity, and Analysis']"
A network model for cellular aging,['Cellular aging as an emergent property of a gene interaction network']
Estimation of False Discovery Proportion with Unknown Dependence,['Consistent Estimation of False Discovery Proportion under Unknown Covariance']
"Rational conjugacy of torsion units in integral group rings of
  non-solvable groups",['Rational conjugacy of torsion units in group rings and applications']
"Conditional Expectation of a Markov Kernel Given Another with Some
  Applications in Statistical Inference and Disease Diagnosis","['Conditional expectation of a Markov kernel, its application to clinical diagnosis and completeness']"
Random subgraphs make identification affordable,['Identifying codes of sparse sparse graphs']
Layered Separators in Minor-Closed Graph Classes with Applications,['Layered Separators in Minor-Closed Classes and Applications']
"Wave function of the Universe, Preferred reference frame effects and
  metric signature transition",['Classical and Quantum Cosmology with Brans Dicke Scalar Fields']
Incremental Network Design with Minimum Spanning Trees,['Greedy Incremental Network Design with Minimum Spanning Trees']
"Frequency-Domain Stochastic Modeling of Stationary Bivariate or
  Complex-Valued Signals",['Joint Frequency-Domain Stochastic Modeling of Jointly Observed Signals']
AstraKahn: A Coordination Language for Streaming Networks,['Towards a complete definition document for C# with an application to multicore systems']
The Brauer group is not a derived invariant,['A note on Brauer groups of derived-equivalent Calabi-Yau 3-folds']
The two faces of Hawking radiation,['Horizon-Infinity Duality and Hawking Radiation']
"Regularity of Wiener functionals under a H\""ormander type condition of
  order one","['The H""ormander condition for diffusion processes']"
Associahedra via spines,['The spine of a triangulation as a dual tree to construct an associahedron']
Relativistic Black-Scholes model,['Telegraphers equation and relativistic Black-Scholes equation']
The Vectorial $\lambda$-Calculus,['Linear Types for the Linear-Algebraic $lambda$-Calculus']
"Measurement of identified charged hadron spectra with the ALICE
  experiment at the LHC",['Measurement of the identified charged hadron $p_t$ spectra in proton-proton collisions at $sqrts=900 GeV with ALICE']
Is Interstellar travel to an exoplanet Possible?,['On the Future of Space Travel']
"The genesis of the internal resistance of a battery -- a physical
  perspective",['The Chemical Potential Driven Current Flow in Lithium Batteries']
Notoph-Graviton-Photon Coupling,['Quantum field equations for the symmetric second-rank spinor and the notoph']
Boundary crossover in non-equilibrium growth processes,['Boundary roughening of stochastic interfaces']
"Approximation Algorithms for the Load Balanced Capacitated Vehicle
  Routing Problem",['Load Balanced Capacitated Vehicle Routing Problem']
Solving optimal stopping problems via empirical dual optimization,['Solving optimal stopping problems based on their dual representation']
Adversarial Multiple Access Channels with Individual Injection Rates,['Distributed Broadcasting in Synchronous Multiple-Access Channels']
Regression Trees for Longitudinal Data,['Longitudinal Regression Tree Construction Using Baseline Covariates as Partitioning Variables']
Hydrodynamic models of particle production,['Elliptic and triangular flow in proton-lead collisions at the LHC']
Cohomological obstructions in locally variational field theories,['Cohomological obstructions to the existence of global conserved quantities']
"Universal Limit Theorems in Graph Coloring Problems With Connections to
  Extremal Combinatorics",['Limit theorems for the number of monochromatic edges in random graph colorings']
The Generalized Traveling Salesman Problem solved with Ant Algorithms,['A Reinforcing Ant Colony System Algorithm for the Generalized Traveling Salesman Problem']
"Brascamp-Lieb type inequalities on weighted Riemannian manifolds with
  boundary",['New Brascamp-Lieb type inequalities on Riemannian manifolds with boundary']
"Feature Selection with Annealing for Computer Vision and Big Data
  Learning",['Efficient Learning by Screening with Scheduled Variables']
A primal-dual algorithm for BSDEs,['Primal-dual construction of confidence intervals for reflected BSDEs']
Quantum Algorithms for Matrix Products over Semirings,['Quantum Algorithms for Matrix Product Computation']
"Pseudospin symmetry: Recent progress with supersymmetric quantum
  mechanics",['Pseudospin symmetry in nuclear single-particle spectra']
How many is different? Answer from ideal Bose gas,['How many $mathrmH_2O$ are needed to form water?']
Rosenberg's Reconstruction Theorem (after Gabber),"[""A note on Rosenberg's spectrum for abelian categories""]"
Mixing in high-dimensional expanders,['Mixing in Finite Simplicial Complexes']
"Linearized eigenvalues for a free boundary problem modeling two-phase
  tumor growth",['On a linearized eigenvalue problem arising in the growth of a tumor containing two species of cells']
Tropical approach to Nagata's conjecture in positive characteristic,['Tropical floor diagrams and the area of a planar algebraic curve']
Arratia flow with drift and the Trotter formula for Brownian web,['The Trotter formula for the Arratia flow']
"On Convergent Finite Difference Schemes for Variational - PDE Based
  Image Processing",['Adaptive Anisotropic Huber Functional Based Image Restoration']
"Second order WSGD operators II: A new family of difference schemes for
  space fractional advection diffusion equation","['Second order weighted and shifted Gr""unwald difference operators for space fractional partial differential equations and their application to the space fractional advection diffusion equation']"
Unramified Brauer classes on cyclic covers of the projective plane,['Unramified Brauer classes on p-cyclic covers in characteristic 2']
Remarks on limit theorems for reversible Markov processes,['Backward-Forward Martingale Decompositions and the Functional CLT for Reversible Markov Chains']
"The Log-Volume of Optimal Codes for Memoryless Channels, Asymptotically
  Within A Few Nats",['Shannon Capacity Limits for Memoryless Channels']
Some implications of the $2$-fold Bailey lemma,['On the $2$-fold Bailey lemma']
Is modern science evolving in the wrong direction?,['The Decline of International Collaboration in the Last 10 Years: Implications for Policy and Research']
"Efficient Quantum Algorithms for Analyzing Large Sparse Electrical
  Networks",['Quantum algorithms for sparse electrical networks']
Quantum spin systems on infinite lattices,['Quantum mechanics on infinite sites']
"The classification of Nichols algebras over groups with finite root
  system of rank two",['Nichols algebras over groups with finite root system of its direct sum']
Connected sums and finite energy foliations I: Contact connected sums,['Finite energy foliations on almost complex structures']
"Super-polylogarithmic hypergraph coloring hardness via low-degree long
  codes",['Quasi-NP-Hardness of Hypergraph Coloring Using the Low-Degree Polynomial Code']
On the $q$-Pell sequences and sums of tails,"['$q$-Pell sequences, sums of tails and weighted partition theorems']"
Instruction sequences expressing multiplication algorithms,['Instruction sequences for computing the long and the Karatsuba multiplication algorithms']
Efficient Random-Walk Methods for Approximating Polytope Volume,['Efficient Random Walk Algorithms for Volume Approximation of Convex Polytopes']
An alternative approach to equivariant stable homotopy theory,['From G-spectrum to stable homotopy theory']
"Multi-particle localization for weakly interacting Anderson
  tight-binding models",['Stability of the one-dimensional multi-particle Anderson tight-binding model']
"On the Energy Self-Sustainability of IoT via Distributed Compressed
  Sensing",['Distributed Compressed Sensing for Energy Self-Sustainability in IoT']
"A Utility Theory Based Interactive Approach to Robustness in Linear
  Optimization",['Interactive Cutting-Plane Algorithms for Robust Optimization']
Generalized Quantum Arthur-Merlin Games,['The role of interaction and coins in two-turn quantum interactive proof systems']
Coupling methods for random topological Markov chains,['A spectral gap for the transfer operators of random topological Markov chains and non-stationary shift spaces']
A Dundas-McCarthy theorem for bimodules over exact categories,['Split square zero extensions and relative $K$-theory']
"Quantum Ensemble Classification: A Sampling-based Learning Control
  Approach",['Quantum Ensemble Classification as Sampling-based Learning Control']
Extinction times in the subcritical stochastic SIS logistic epidemic,['Near-critical behaviour of the stochastic SIS logistic epidemic']
"Element-wise uniqueness, prior knowledge, and data-dependent resolution","['Data-dependent uniqueness, resolution, and prior knowledge']"
Commutator estimates on contact manifolds and applications,['Commutator estimates on Heisenberg manifolds']
On Thompson's group T and algebraic K-theory,"[""The infinite generation of the Whitehead group of Thompson's group T""]"
Multilevel Richardson-Romberg extrapolation,['Multilevel Richardson-Romberg estimators for diffusion processes']
Melikyan algebra is a deformation of a Poisson algebra,['Restricted Melikyan algebra of dimension 125 is a deformation of a Poisson algebra']
"Characteristic local discontinuous Galerkin methods for solving
  time-dependent convection-dominated Navier-Stokes equations",['Symmetric variational formulation for time-dependent convection-dominated Navier-Stokes equations']
"Characterization of multipartite entanglement in terms of local
  transformations",['Characterization of invariant polynomial rings of local unitary and general linear groups']
"Equivariant bordism of 2-torus manifolds and unitary toric manifolds--a
  survey",['Equivariant bordism of 2-torus and unitary toric manifolds: a survey']
"IMRO: a proximal quasi-Newton method for solving $l_1$-regularized least
  square problem",['IMRO Proximal Quasi-Newton Method with Application to $l_1$-Regularized Least Square Problem']
Interpolation between Hilbert spaces,['Interpolation between Hilbert spaces: a characterization']
Dirac Tori,['Dirac tori on $mathbbR3$']
"Two-point G$^2$ Hermite interpolation with spirals by inversion of
  conics: summary",['Two-point G$2$ Hermite interpolation with spirals by inversion of conics']
For-all Sparse Recovery in Near-Optimal Time,['Sparse Approximate Recovery with Improved Upper Bound and Runtime']
"Mid-rapidity D-meson production in pp, Pb-Pb and p-Pb collisions at the
  LHC",['Recent results on D-meson production measured by the ALICE experiment at the LHC']
"Order-preserving strong schemes for SDEs with locally Lipschitz
  coefficients",['Explicit balanced schemes for SDEs with coefficients of superlinearly growth']
Fractal and multifractal properties of a family of fractal networks,['Fractal and Multifractal Properties of a Family of Fractal Networks']
"Nonlinear dynamics of system oscillations modeled by a forced Van der
  Pol generalized oscillator",['Forced Van der Pol Generalized Oscillator']
"Turing Kernelization for Finding Long Paths and Cycles in Restricted
  Graph Classes",['Turing Kernels for $k$-Path']
Pluri-Canonical Models of Supersymmetric Curves,['Pluri-Canonical Models of Supersymmetric Curves']
An Explicit Formula for the Local zeta Function of a Laurent Polynomial,['The local zeta function associated to a polynomial over a $p-$adic field']
A First-Order BSPDE for Swing Option Pricing: Classical Solutions,['Value Processes and Backward SPDEs for Swing Option Pricing']
"Aspects of Quantum Energy and Stress in Inhomogeneous Unbounded
  Dielectric Continua",['Quantum energy and stress in an inhomogeneous ENZ metamaterial']
Bayesian linear regression with sparse priors,['Bayesian high-dimensional linear regression with sparsity constraints']
Gabor analysis as contraction of wavelets analysis,['Wavelets analysis and Gabor analysis']
"Hamiltonian Formulation and Perturbations for Dust Motion around
  Cometary Nuclei",['Dynamical behavior of large dust grains in the potential field of a cometary nucleus']
"Stability and Motion around Equilibrium Points in the Rotating
  Plane-Symmetric Potential Field","['Equilibrium points, periodic orbits, stabilities and manifolds in a rotating plane symmetric potential field']"
The modified electromagnetism and the emergent longitudinal wave,['Electromagnetic waves and Lorenz gauge violation']
A geometric approach to shortest bounded curvature paths,['Minimal length paths on the plane']
Degeneration of Hodge structures over Picard modular surfaces,['Degenerations of Hodge structures over Picard modular surfaces']
"Adaptive Control of Robot Manipulators With Uncertain Kinematics and
  Dynamics",['Adaptive Control of Robot Manipulators with Uncertain Kinematics and Dynamics']
"Hopf Algebras of m-permutations, (m+1)-ary trees, and m-parking
  functions",['Combinatorial Hopf algebras based on (m+1)-ary trees']
"The classification of compact simply connected biquotients in dimension
  6 and 7",['Simply connected 6-dimensional biquotients']
"The quantisation of normal velocity does not concentrate on
  hypersurfaces",['Semiclassical restrictions of Neumann data of Laplacian eigenfunctions']
Using Mathematica for Quantum Mechanics: A Student's Manual,['Quantum Computers']
Optimal Strokes for Driftless Swimmers: A General Geometric Approach,['A Unified Geometric Approach for the Optimization of Driftless Swimmers']
"Phase space analysis of the F (X) - V (\phi) scalar field Lagrangian and
  scaling solutions in flat cosmology",['Scaling solutions in kinetic cosmology II: critical points and transformations']
Posterior Matching for Gaussian Broadcast Channels with Feedback,['Posterior Matching for the Gaussian Broadcast Channel with Feedback']
"Polarization fields in GaN/AlN nanowire heterostructures studied by Off
  axis holography",['Off-axis holography of GaN/AlN heterostructured nanowires']
Principles of Antifragile Software,"['What is ""Antifragile"" Software?']"
On the topology of the spaces of curvature constrained plane curves,['Deformation of plane curves with bounded curvature to another family']
Martingale inequalities of type Dzhaparidze and van Zanten,['Refined Freedman-Bennett inequalities for martingales with unbounded differences']
Brauer groups on K3 surfaces and arithmetic applications,['Brauer elements on K3 surfaces of degree 2d']
On the symplectic eightfold associated to a Pfaffian cubic fourfold,['Deformation equivalence of eightfolds and K3 surfaces']
"An analytical approach to the external force-free motion of pendulums on
  surfaces of constant curvature",['Dynamics of Force Free Motion of Pendulums on Surfaces of Constant Gaussian Curvature']
Recurrence and transience for the frog model on trees,['Recurrence and transience for the frog model on trees']
Applications of cotorsion triples,['Cotorsion triples and stable categories']
Coding Theoretic Construction of Quantum Ramp Secret Sharing,['Quantum ramp secret sharing from nested linear codes']
"Towards Evidence of Long-Range Correlations in Shallow Seismic
  Activities",['A small-world earthquake network with time-dependent connectivity']
Quantized Mechanics of Affinely-Rigid Bodies,['Quantum Mechanics on Affinely-Rigid Manifolds']
The large-scale structure of vacuum,['Large-Scale Structure of the Vacuum Energy']
"Can a variable gravitational constant resolve the Faint Young Sun
  Paradox ?",['The Faint Young Sun Paradox and the Gravitational Constant']
Algorithmic identification of probabilities is hard,['Can one uniformly guess Bernoulli measures uniformly?']
Valuation of Barrier Options using Sequential Monte Carlo,['Sequential Monte Carlo for Pricing Barrier Options']
Raiders of the lost spacetime,['How Spacetime is Lost and How It Can Be Recovered in Loop Quantum Gravity']
Change-Point Estimation in High-Dimensional Markov Random Field Models,['Change-point estimation in high-dimensional Markov Random Field models']
"Elliptic flow of electrons from heavy-flavor hadron decays in Au+Au
  collisions at $\sqrt{s_{\rm NN}} = $ 200, 62.4, and 39 GeV",['Elliptic flow of electrons from decays of heavy-flavor hadrons produced in Au+Au collisions at $sqrts_rm NN$ = $ 200 GeV']
